zipCode,latitude,longitude,price,numBeds,numBaths,area,address,timeOnZillow,detailURL
37920,35.939377,-83.93551,2500.0,3,3.0,1758,"1824 Cherokee Bluff Dr, Knoxville, TN 37920",3119440532,/homedetails/1824-Cherokee-Bluff-Dr-Knoxville-TN-37920/41667963_zpid/
37920,35.967117,-83.90258,2800.0,4,2.0,1426,"1425 Isabella Cir, Knoxville, TN 37915",1953750857,/homedetails/1425-Isabella-Cir-Knoxville-TN-37915/41655817_zpid/
37920,35.963055,-83.929535,1600.0,2,1.0,1000,"1309 Forest Ave APT 1, Knoxville, TN 37916",1819174029,/homedetails/1309-Forest-Ave-APT-1-Knoxville-TN-37916/299822708_zpid/
37920,35.956337,-83.90246,1600.0,2,1.0,896,"1110 Valley Ave, Knoxville, TN 37920",1823266607,/homedetails/1110-Valley-Ave-Knoxville-TN-37920/41669168_zpid/
37920,35.918766,-83.99698,4900.0,4,5.5,5400,"6435 Cobblecreek Way, Knoxville, TN 37919",1295404576,/homedetails/6435-Cobblecreek-Way-Knoxville-TN-37919/80223352_zpid/
37920,35.953396,-83.8853,2200.0,3,1.0,885,"2811 Hackman St, Knoxville, TN 37920",1222144489,/homedetails/2811-Hackman-St-Knoxville-TN-37920/41669476_zpid/
37920,35.96718,-83.92211,3500.0,3,3.5,1600,"415 W Vine Ave APT 9, Knoxville, TN 37902",2426615380,/homedetails/415-W-Vine-Ave-APT-9-Knoxville-TN-37902/41653056_zpid/
37920,35.915154,-83.70021,4200.0,4,3.5,4066,"1462 Ellis Woods Loop, Sevierville, TN 37876",948040925,/homedetails/1462-Ellis-Woods-Loop-Sevierville-TN-37876/62899469_zpid/
37920,35.964928,-83.91892,7500.0,2,2.5,3043,"325 Union Ave, Knoxville, TN 37902",2845862631,/homedetails/325-Union-Ave-Knoxville-TN-37902/2055243786_zpid/
37920,35.94997,-83.98095,2100.0,2,2.5,1208,"4333 Apex Dr, Knoxville, TN 37919",5346381762,/homedetails/4333-Apex-Dr-Knoxville-TN-37919/41666527_zpid/
37920,35.96752,-83.97025,1800.0,2,1.5,1440,"2118 Piedmont St, Knoxville, TN 37921",2943256537,/homedetails/2118-Piedmont-St-Knoxville-TN-37921/41652175_zpid/
37920,35.93081,-83.966934,3700.0,4,3.0,2500,"3858 Sequoyah Ave, Knoxville, TN 37919",1896939262,/homedetails/3858-Sequoyah-Ave-Knoxville-TN-37919/41679979_zpid/
37920,35.957916,-83.9336,1250.0,1,1.0,336,"1700 Clinch Ave APT 313, Knoxville, TN 37916",1663787076,/homedetails/1700-Clinch-Ave-APT-313-Knoxville-TN-37916/41654623_zpid/
37920,35.968147,-83.9391,2075.0,3,3.0,1320,"1614 Gross Ave, Knoxville, TN 37921",3256776527,/homedetails/1614-Gross-Ave-Knoxville-TN-37921/60149580_zpid/
37920,35.94864,-83.982635,1700.0,2,1.0,814,"4509 Hillview Rd, Knoxville, TN 37919",684484608,/homedetails/4509-Hillview-Rd-Knoxville-TN-37919/41666617_zpid/
37920,35.939774,-83.93417,1950.0,3,2.5,1750,"1912 Cherokee Bluff Dr, Knoxville, TN 37920",3092092602,/homedetails/1912-Cherokee-Bluff-Dr-Knoxville-TN-37920/41668019_zpid/
37920,35.94479,-83.8928,1950.0,3,2.0,1095,"3604 Decatur Dr, Knoxville, TN 37920",1559197171,/homedetails/3604-Decatur-Dr-Knoxville-TN-37920/41671063_zpid/
37920,35.869274,-83.76877,1950.0,3,1.5,1540,"414 Black Oak Ridge Rd, Seymour, TN 37865",1533255977,/homedetails/414-Black-Oak-Ridge-Rd-Seymour-TN-37865/42482992_zpid/
37920,35.943474,-83.986336,2000.0,2,2.5,1425,"4039 Heather Ct #4039, Knoxville, TN 37919",2868361240,/homedetails/4039-Heather-Ct-4039-Knoxville-TN-37919/2068701256_zpid/
37920,35.925327,-83.919685,3100.0,3,2.0,1200,"1030 Avenue A, Knoxville, TN 37920",1355456855,/homedetails/1030-Avenue-A-Knoxville-TN-37920/41682367_zpid/
37920,35.962505,-83.928276,1700.0,1,1.0,598,"1211 Highland Ave APT 101, Knoxville, TN 37916",5266675175,/homedetails/1211-Highland-Ave-APT-101-Knoxville-TN-37916/41654241_zpid/
